都道府県ID,カテゴリID,スポット名
32,2,出雲大社
32,4,菅田庵
32,3,木幡家住宅
32,3,櫻井家住宅
32,2,神魂神社
32,5,松江城
32,1,雲樹寺
32,2,染羽天石勝神社
32,2,日御碕神社
32,3,旧道面家住宅
32,2,佐太神社
32,2,美保神社
32,2,玉若酢命神社
32,2,水若酢神社
32,3,佐々木家住宅
32,2,焼火神社
32,3,熊谷家住宅
32,8,旧大社駅
32,2,鷲原八幡宮
32,7,美保関灯台
32,7,出雲日御碕灯台
32,6,興雲閣
32,4,明々庵
32,2,物部神社
32,6,隠岐郷土館(旧周吉外三郡役所庁舎)
32,2,富田八幡宮
32,2,城上神社
32,1,月照寺
32,2,金屋子神社
32,3,並河家住宅
32,2,内神社（高野宮）
32,1,萬福寺(益田市)
32,1,清水寺(安来市)
32,2,真名井神社(松江市)
32,2,柿本神社(益田市)
32,1,永明寺(津和野町)
32,2,三渡八幡宮(津和野町)
32,2,恵比須神社(大田市)
32,3,堀江家住宅(雲南市)
32,4,古門堂茶室及び厳松軒茶室
32,3,藤間家住宅(出雲市)
32,2,恵比須神社(大田市)
32,3,金森家住宅(大田市)
